,,,,,,,,,,,
Annual Visitation Report by Years: 1965 to 1985,,,,,,,,,,,
,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,
,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,
,Park Name,1979,1980,1981,1982,1983,1984,1985,Average,,
,Salinas Pueblo Missions NM,"26,728","21,748","20,359","32,491","35,968","28,395","29,643","27,905",,
,San Antonio Missions NHP,,,,,"134,904","205,124","212,165","184,064",,
,San Juan Island NHP,"92,481","103,452","101,620","113,385","122,540","99,400","104,312","105,313",,
,San Juan NHS,"1,458,778","1,601,984","1,522,942","1,508,333","1,306,178","2,005,185","2,221,661","1,660,723",,
,Santa Monica Mountains NRA,,,,"468,144","394,100","458,423","513,073","458,435",,
,Saratoga NHP,"97,241","97,910","109,018","121,867","123,519","119,870","116,922","112,335",,
,Saugus Iron Works NHS,"32,803","35,692","38,139","37,581","38,549","43,498","40,320","38,083",,
,Scotts Bluff NM,"173,291","109,520","150,183","170,175","151,984","153,448","168,616","153,888",,
,Sequoia NP,"799,576","862,397","1,083,002","1,020,500","854,233","979,632","939,468","934,115",,
,Shenandoah NP,"1,521,451","1,699,228","1,819,546","1,751,972","1,768,378","1,869,307","1,933,085","1,766,138",,
,Shiloh NMP,"318,934","299,615","322,238","260,177","272,092","275,345","264,428","287,547",,
,Sitka NHP,"69,189","72,743","86,984","87,316","84,830","108,046","116,946","89,436",,
,Sleeping Bear Dunes NL,"733,463","689,274","759,014","664,945","658,208","853,186","897,512","750,800",,
,Springfield Armory NHS,"15,607","17,209","19,161","18,134","15,626","17,452","16,123","17,045",,
,Statue of Liberty NM,"1,661,432","1,771,066","1,885,441","1,784,297","1,598,829","637,180","190,172","1,361,202",,
,Stones River NB,"122,049","108,157","103,622","140,772","138,605","123,698","196,299","133,315",,
